,Date,AUT,BEL,BGR,CZE,DNK,DEU,EST,ESP,FRA,FIN,GRC,GBR,HRV,HUN,IRL,ITA,LVA,LTU,LUX,MLT,NLD,NI,POL,PRT,ROU,SVN,SVK,SWE,EU,Change / previous week
0,01/07/2002,247.37,229.18, -   , -   ,243.55,231.87, -   ,267.9,264.3,263.9,357.3,275.59,  , -   ,247.67,296.78, -   , -   ,267.6, -   ,209.2,250.59, -   ,328.58, -   , -   , -   ,255.27,263.92,
1,08/07/2002,247.3,230.02, -   , -   ,245.68,233.95, -   ,266.39,264.37,265.61,356.76,276.79,  , -   ,245.91,299.78, -   , -   ,267.2, -   ,208.13,253.39, -   ,327.79, -   , -   , -   ,249.76,264.62,0.27%
2,15/07/2002,252.36,230, -   , -   ,246.15,237.08, -   ,264.75,264.63,259.78,355.77,275.25,  , -   ,243.25,304.15, -   , -   ,267.69, -   ,214.68,253.14, -   ,327.67, -   , -   , -   ,244.52,265.42,0.30%
3,22/07/2002,254.08,230.59, -   , -   ,245.6,239.32, -   ,265.23,266.04,263.91,350.14,277.86,  , -   ,242.14,303.61, -   , -   ,270.78, -   ,216.53,253.88, -   ,326.52, -   , -   , -   ,239.95,266.09,0.25%
4,29/07/2002,257.18,230.53, -   , -   ,244.62,242.25, -   ,266.54,268.77,263.27,349.24,279.98,  , -   ,240.59,303.23, -   , -   ,271.55, -   ,217.32,256.26, -   ,328.29, -   , -   , -   ,242.94,267.28,0.45%
5,05/08/2002,259.12,232.56, -   , -   ,249.61,243.04, -   ,270.25,270.95,261.15,349.25,278.07,  , -   ,237.09,299.98, -   , -   ,268.31, -   ,214.96,252.66, -   ,328.51, -   , -   , -   ,242.69,266.99,-0.11%
6,12/08/2002,261.4,234.75, -   , -   ,248.45,242.86, -   ,268.01,271.7,260.51,347.19,273.62,  , -   ,234.3,302.6, -   , -   ,273.59, -   ,214.1,249.06, -   ,328.25, -   , -   , -   ,245.34,266.52,-0.18%
7,19/08/2002,262.4,236.81, -   , -   ,249.18,242.77, -   ,271.39,272.24,262.55,347.04,272.96,  , -   ,233.41,306.27, -   , -   ,270.47, -   ,214.54,245.12, -   ,332.53, -   , -   , -   ,247.03,267.67,0.43%
8,26/08/2002,265.34,236.57, -   , -   ,250.41,243.67, -   ,272.18,272.55,262.68,350.08,274.13,  , -   ,234.43,312.04, -   , -   ,268.93, -   ,217.07,244.83, -   ,322.72, -   , -   , -   ,247.64,269.36,0.63%
9,02/09/2002,264.92,238.94, -   , -   ,250.61,245.02, -   ,275.32,272.9,258.16,350.54,275.97,  , -   ,235.44,309.68, -   , -   ,271.97, -   ,217.11,247.87, -   ,326.39, -   , -   , -   ,245.32,269.9,0.20%
