,Date,Country,Price,Year,Month,Week
0,2002-07-01,BE,229.18,2002,7,27
1,2002-07-08,BE,230.02,2002,7,28
2,2002-07-15,BE,230.0,2002,7,29
3,2002-07-22,BE,230.59,2002,7,30
4,2002-07-29,BE,230.53,2002,7,31
5,2002-08-05,BE,232.56,2002,8,32
6,2002-08-12,BE,234.75,2002,8,33
7,2002-08-19,BE,236.81,2002,8,34
8,2002-08-26,BE,236.57,2002,8,35
9,2002-09-02,BE,238.94,2002,9,36
10,2002-09-09,BE,239.22,2002,9,37
11,2002-09-16,BE,239.31,2002,9,38
12,2002-09-23,BE,239.02,2002,9,39
13,2002-09-30,BE,239.23,2002,9,40
14,2002-10-07,BE,239.44,2002,10,41
15,2002-10-14,BE,239.03,2002,10,42
16,2002-10-21,BE,239.22,2002,10,43
17,2002-10-28,BE,239.11,2002,10,44
18,2002-11-04,BE,238.17,2002,11,45
19,2002-11-11,BE,238.29,2002,11,46
20,2002-11-18,BE,238.33,2002,11,47
21,2002-11-25,BE,239.88,2002,11,48
22,2002-12-02,BE,240.77,2002,12,49
23,2002-12-09,BE,241.25,2002,12,50
24,2002-12-16,BE,241.48,2002,12,51
25,2002-12-23,BE,241.48,2002,12,52
26,2002-12-30,BE,241.71,2002,12,1
27,2003-01-06,BE,241.86,2003,1,2
28,2003-01-13,BE,242.1,2003,1,3
29,2003-01-20,BE,242.06,2003,1,4
30,2003-01-27,BE,242.14,2003,1,5
31,2003-02-03,BE,242.08,2003,2,6
32,2003-02-10,BE,242.46,2003,2,7
33,2003-02-17,BE,243.11,2003,2,8
34,2003-02-24,BE,243.49,2003,2,9
35,2003-03-03,BE,243.15,2003,3,10
36,2003-03-10,BE,244.92,2003,3,11
37,2003-03-17,BE,244.76,2003,3,12
38,2003-03-24,BE,243.36,2003,3,13
39,2003-03-31,BE,243.35,2003,3,14
40,2003-04-07,BE,243.39,2003,4,15
41,2003-04-14,BE,243.61,2003,4,16
42,2003-04-21,BE,244.68,2003,4,17
43,2003-04-28,BE,245.27,2003,4,18
44,2003-05-05,BE,248.22,2003,5,19
45,2003-05-12,BE,250.54,2003,5,20
46,2003-05-19,BE,252.42,2003,5,21
47,2003-05-26,BE,255.38,2003,5,22
48,2003-06-02,BE,255.65,2003,6,23
49,2003-06-09,BE,255.98,2003,6,24
50,2003-06-16,BE,256.15,2003,6,25
51,2003-06-23,BE,256.2,2003,6,26
52,2003-06-30,BE,255.78,2003,6,27
53,2003-07-07,BE,255.89,2003,7,28
54,2003-07-14,BE,255.7,2003,7,29
55,2003-07-21,BE,255.76,2003,7,30
56,2003-07-28,BE,256.11,2003,7,31
57,2003-08-04,BE,256.76,2003,8,32
58,2003-08-11,BE,255.12,2003,8,33
59,2003-08-18,BE,254.8,2003,8,34
60,2003-08-25,BE,254.94,2003,8,35
61,2003-09-01,BE,254.84,2003,9,36
62,2003-09-08,BE,255.66,2003,9,37
63,2003-09-15,BE,256.65,2003,9,38
64,2003-09-22,BE,256.55,2003,9,39
65,2003-09-29,BE,255.32,2003,9,40
66,2003-10-06,BE,252.9,2003,10,41
67,2003-10-13,BE,252.28,2003,10,42
68,2003-10-20,BE,251.49,2003,10,43
69,2003-10-27,BE,250.09,2003,10,44
70,2003-11-03,BE,251.97,2003,11,45
71,2003-11-10,BE,251.88,2003,11,46
72,2003-11-17,BE,249.92,2003,11,47
73,2003-11-24,BE,250.21,2003,11,48
74,2003-12-01,BE,250.0,2003,12,49
75,2003-12-08,BE,249.41,2003,12,50
76,2003-12-15,BE,248.43,2003,12,51
77,2003-12-22,BE,247.95,2003,12,52
78,2003-12-29,BE,248.35,2003,12,1
79,2004-01-05,BE,246.35,2004,1,2
80,2004-01-12,BE,246.49,2004,1,3
81,2004-01-19,BE,245.23,2004,1,4
82,2004-01-26,BE,243.6,2004,1,5
83,2004-02-02,BE,242.17,2004,2,6
84,2004-02-09,BE,241.41,2004,2,7
85,2004-02-16,BE,239.92,2004,2,8
86,2004-02-23,BE,238.99,2004,2,9
87,2004-03-01,BE,238.7,2004,3,10
88,2004-03-08,BE,239.56,2004,3,11
89,2004-03-15,BE,239.24,2004,3,12
90,2004-03-22,BE,238.93,2004,3,13
