,Date,BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,HR,IT,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,GB,NI,EU,Year,Month,Week
0,01/07/2002,229.1833,0,0,243.5499,231.8653,0,247.6676,357.3031,267.9034,264.3011,,296.7839,0,0,267.6017,0,0,209.1979,247.3716,0,328.5774,0,0,0,263.8951,255.2739,275.5905,250.5946,263.9238,2002,7,27
1,08/07/2002,230.0245,0,0,245.6764,233.9548,0,245.9111,356.7621,266.3861,264.3722,,299.7835,0,0,267.1979,0,0,208.1279,247.3021,0,327.7852,0,0,0,265.607,249.7649,276.7934,253.3864,264.6243,2002,7,28
2,15/07/2002,230.0026,0,0,246.1473,237.0797,0,243.2541,355.7732,264.7464,264.6332,,304.1493,0,0,267.6869,0,0,214.6759,252.3606,0,327.6729,0,0,0,259.7826,244.5202,275.2529,253.138,265.422,2002,7,29
3,22/07/2002,230.5926,0,0,245.5993,239.3198,0,242.1401,350.1427,265.2285,266.0375,,303.6119,0,0,270.7808,0,0,216.5278,254.0813,0,326.5214,0,0,0,263.9066,239.9471,277.8622,253.8755,266.091,2002,7,30
4,29/07/2002,230.5286,0,0,244.6237,242.2546,0,240.5935,349.2433,266.5392,268.7703,,303.2276,0,0,271.5494,0,0,217.3236,257.1817,0,328.2945,0,0,0,263.2698,242.9415,279.9824,256.2606,267.282,2002,7,31
5,05/08/2002,232.5626,0,0,249.6149,243.037,0,237.0865,349.2535,270.2465,270.9482,,299.9756,0,0,268.3072,0,0,214.9557,259.1157,0,328.5066,0,0,0,261.1531,242.6934,278.0736,252.6593,266.9917,2002,8,32
6,12/08/2002,234.7518,0,0,248.4535,242.8591,0,234.3042,347.1917,268.012,271.6966,,302.5954,0,0,273.587,0,0,214.0983,261.4047,0,328.2479,0,0,0,260.5053,245.337,273.619,249.0583,266.5192,2002,8,33
7,19/08/2002,236.8058,0,0,249.1819,242.7737,0,233.4141,347.0448,271.3917,272.2425,,306.2698,0,0,270.4739,0,0,214.5362,262.397,0,332.5252,0,0,0,262.5542,247.0333,272.9629,245.123,267.6695,2002,8,34
8,26/08/2002,236.5699,0,0,250.4116,243.671,0,234.4274,350.0759,272.1804,272.5453,,312.0358,0,0,268.9264,0,0,217.0743,265.3428,0,322.7249,0,0,0,262.6759,247.6403,274.1307,244.8325,269.3575,2002,8,35
9,02/09/2002,238.9409,0,0,250.6055,245.0156,0,235.4373,350.5393,275.3207,272.9031,,309.6841,0,0,271.9734,0,0,217.1115,264.9175,0,326.3868,0,0,0,258.1618,245.3179,275.9683,247.8705,269.8993,2002,9,36
10,09/09/2002,239.215,0,0,252.4192,247.9696,0,235.2395,355.0478,273.9308,272.9506,,310.6108,0,0,269.3398,0,0,217.5611,266.4734,0,327.06,0,0,0,262.6149,245.7128,277.5774,249.7592,270.8834,2002,9,37
11,16/09/2002,239.3053,0,0,253.7046,250.3688,0,231.9602,353.675,272.9177,272.1826,,311.8876,0,0,269.6402,0,0,218.6846,268.4993,0,327.6531,0,0,0,260.6235,247.0033,274.249,248.5251,270.6804,2002,9,38
12,23/09/2002,239.0247,0,0,252.9971,251.5971,0,230.9229,356.5981,269.6816,271.903,,309.3051,0,0,269.9058,0,0,221.5039,270.5866,0,327.2755,0,0,0,259.5203,248.2685,272.6319,249.1738,269.8397,2002,9,39
13,30/09/2002,239.2263,0,0,255.3776,252.5771,0,231.3764,355.3722,271.2906,271.0928,,309.6332,0,0,265.8146,0,0,220.9097,270.9271,0,326.4078,0,0,0,254.6153,247.5142,271.5948,249.1039,270.0066,2002,9,40
14,07/10/2002,239.4427,0,0,256.7906,254.8901,0,230.6398,356.755,273.8312,270.8209,,307.9639,0,0,269.7944,0,0,220.5879,272.9391,0,326.1954,0,0,0,258.6443,246.6164,270.2767,248.5091,270.2696,2002,10,41
15,14/10/2002,239.0257,0,0,255.3119,257.0028,0,230.7446,357.6261,276.2958,270.7607,,306.7974,0,0,270.878,0,0,218.0174,275.6672,0,326.7892,0,0,0,259.8135,247.4915,269.2844,247.7375,270.6114,2002,10,42
16,21/10/2002,239.2218,0,0,253.3276,258.2409,0,228.7386,356.2271,275.9924,271.1303,,305.6082,0,0,272.4291,0,0,220.6857,275.9471,0,326.913,0,0,0,257.3351,243.5852,269.0307,245.6454,270.2033,2002,10,43
17,28/10/2002,239.1055,0,0,254.4735,257.1805,0,226.5285,355.4457,276.1728,270.3638,,306.9795,0,0,273.9998,0,0,221.709,275.8594,0,328.27,0,0,0,257.3425,245.0326,267.8838,244.7664,269.9304,2002,10,44
18,04/11/2002,238.1703,0,0,251.7402,258.4334,0,225.7364,356.3823,278.7845,272.731,,305.8114,0,0,273.1405,0,0,227.8661,276.0614,0,328.4141,0,0,0,257.0257,241.3198,267.5134,246.6042,270.3811,2002,11,45
19,11/11/2002,238.2947,0,0,251.2932,261.0144,0,225.7687,356.0126,281.4763,276.3427,,304.5543,0,0,278.8912,0,0,227.9204,278.244,0,330.314,0,0,0,257.411,242.6206,270.2656,254.1284,271.9041,2002,11,46
20,18/11/2002,238.3292,0,0,251.4479,263.1379,0,231.6731,355.3429,283.4698,276.383,,307.2143,0,0,268.2332,0,0,229.5887,278.265,0,326.8599,0,0,0,257.8323,242.9731,270.6912,260.0111,273.7354,2002,11,47
21,25/11/2002,239.8764,0,0,251.4562,265.3566,0,235.3703,355.6363,286.093,276.8391,,305.8679,0,0,269.6147,0,0,230.0636,280.0611,0,328.887,0,0,0,258.5691,242.5472,271.2637,261.2766,274.8143,2002,11,48
22,02/12/2002,240.7726,0,0,250.5446,260.5395,0,234.0935,355.1387,286.6515,277.6696,,307.7688,0,0,275.9733,0,0,226.9201,280.4977,0,329.8076,0,0,0,257.8809,243.2778,271.2781,260.6697,274.3556,2002,12,49
23,09/12/2002,241.2513,0,0,250.1294,255.7233,0,232.3478,355.4911,287.3443,278.4598,,306.9391,0,0,270.9408,0,0,229.8495,273.2934,0,331.1419,0,0,0,258.67,241.7875,270.5241,257.1558,273.0848,2002,12,50
24,16/12/2002,241.4804,0,0,248.6747,257.2444,0,235.5446,355.2053,287.7971,279.0383,,307.8818,0,0,270.9408,0,0,230.4284,275.0946,0,330.3966,0,0,0,256.0755,241.4828,272.9774,257.15,274.2184,2002,12,51
25,23/12/2002,241.4804,0,0,248.6556,257.9625,0,235.5446,355.6696,285.9094,279.0396,,307.7482,0,0,270.9408,0,0,231.4584,276.4899,0,331.3192,0,0,0,259.335,240.6596,269.9886,255.5231,273.8328,2002,12,52
26,30/12/2002,241.7085,0,0,245.4469,262.0024,0,242.754,353.913,284.1806,280.1233,,309.1287,0,0,276.6402,0,0,237.4593,282.209,0,332.3689,0,0,0,255.8505,241.7883,269.7092,259.1649,275.6324,2002,12,1
27,06/01/2003,241.856,0,0,251.9634,267.144,0,243.4955,358.6943,283.7819,282.2849,,308.4337,0,0,278.4807,0,0,240.2952,284.5885,0,333.4566,0,0,0,257.2477,244.0386,270.6987,259.0875,277.2242,2003,1,2
28,13/01/2003,242.1047,0,0,250.922,271.6487,0,245.299,355.3476,291.516,284.6578,,309.8872,0,0,275.4988,0,0,244.2168,284.3986,0,333.2492,0,0,0,256.1085,240.736,267.2914,257.796,279.1173,2003,1,3
29,20/01/2003,242.0583,0,0,250.3147,271.8588,0,247.3032,358.1111,292.028,286.4353,,311.8542,0,0,278.9862,0,0,242.8537,284.0548,0,335.5816,0,0,0,255.5295,238.6239,264.7519,256.1794,279.6397,2003,1,4
30,27/01/2003,242.1402,0,0,253.1135,270.2217,0,245.9632,352.484,288.935,286.932,,310.8672,0,0,281.7806,0,0,241.4068,283.5211,0,335.5617,0,0,0,256.2798,239.0663,265.7494,256.9217,278.8391,2003,1,5
31,03/02/2003,242.0754,0,0,248.0652,268.2775,0,244.5361,359.6915,288.0795,286.7624,,310.2012,0,0,279.984,0,0,238.2519,282.2057,0,336.0892,0,0,0,254.4101,239.69,267.4303,256.9028,278.1787,2003,2,6
32,10/02/2003,242.4567,0,0,249.5344,272.5676,0,241.643,362.663,290.6837,286.4562,,312.365,0,0,282.402,0,0,238.6065,282.0753,0,337.7632,0,0,0,253.9732,241.8918,262.7886,255.9749,278.8962,2003,2,7
33,17/02/2003,243.1087,0,0,249.4152,277.5445,0,240.7941,363.7215,288.1791,285.7174,,312.2906,0,0,280.7054,0,0,230.51,282.9373,0,336.5544,0,0,0,251.9835,248.3321,260.5722,252.3975,278.9198,2003,2,8
34,24/02/2003,243.4927,0,0,250.0552,278.5885,0,238.4425,365.9181,289.0857,284.3303,,312.0352,0,0,282.4183,0,0,232.7807,285.5573,0,337.4925,0,0,0,251.4712,247.8096,255.7273,246.2006,278.2493,2003,2,9
35,03/03/2003,243.1543,0,0,249.2238,277.5894,0,235.7497,363.477,289.9949,284.2261,,312.0709,0,0,283.8317,0,0,233.1981,285.2169,0,337.5398,0,0,0,253.005,251.7832,250.3381,242.3766,277.2688,2003,3,10
36,10/03/2003,244.9182,0,0,249.331,276.1214,0,234.7657,363.7603,288.6338,282.9878,,311.2447,0,0,283.2542,0,0,235.6924,283.8731,0,338.2828,0,0,0,254.8465,253.5317,251.4524,240.2666,276.6943,2003,3,11
37,17/03/2003,244.7593,0,0,248.0473,271.2355,0,234.3124,366.0717,286.2927,281.6749,,317.0341,0,0,284.9803,0,0,233.7645,279.1545,0,337.6794,0,0,0,254.6597,254.1758,253.1358,244.3557,276.587,2003,3,12
38,24/03/2003,243.3643,0,0,249.3978,266.2835,0,234.9747,365.4977,284.7599,280.0112,,318.6042,0,0,281.156,0,0,237.4358,274.2285,0,339.6684,0,0,0,251.6746,255.1209,253.8159,244.242,275.7304,2003,3,13
39,31/03/2003,243.354,0,0,250.3396,259.3636,0,236.9208,365.0604,282.2995,278.1417,,314.3593,0,0,282.1983,0,0,235.9719,271.1328,0,341.008,0,0,0,252.1452,256.6909,252.5651,242.4977,273.2201,2003,3,14
40,07/04/2003,243.3913,0,0,249.3947,256.3577,0,237.187,366.307,281.5423,277.0132,,313.688,0,0,285.7664,0,0,235.0352,270.4541,0,340.8482,0,0,0,249.5703,263.9979,256.9915,242.3444,272.9855,2003,4,15
41,14/04/2003,243.6128,0,0,240.2389,257.5551,0,235.7932,366.3083,282.4012,276.0216,,316.5663,0,0,287.0214,0,0,233.9861,269.8748,0,340.8529,0,0,0,250.1683,264.5655,254.5,238.1769,272.9801,2003,4,16
42,21/04/2003,244.677,0,0,256.6253,259.8733,0,234.4425,370.9482,285.165,274.3222,,311.2005,0,0,284.9408,0,0,231.503,271.455,0,340.2829,0,0,0,250.7023,264.0608,252.7111,235.7682,272.5656,2003,4,17
43,28/04/2003,245.2727,0,0,233.6232,259.8633,0,232.666,365.7656,288.7533,273.5738,,310.5739,0,0,284.6335,0,0,233.4135,271.1589,0,340.4894,0,0,0,250.3036,264.7694,251.7569,233.9573,271.8682,2003,4,18
44,05/05/2003,248.2196,0,0,248.5258,254.9783,0,233.0514,366.2949,290.4413,275.269,,311.098,0,0,285.1568,0,0,232.8586,268.2533,0,340.8234,0,0,0,250.0268,264.6779,248.7637,231.5538,271.8595,2003,5,19
45,12/05/2003,250.537,0,0,248.3836,246.0761,0,236.5015,371.3593,288.7325,274.4789,,311.0327,0,0,284.1654,0,0,232.7373,262.6875,0,341.73,0,0,0,251.4746,263.3621,246.5939,230.2347,270.0407,2003,5,20
