,Date,Year,Month,Week,Country,Price
0,2002-07-01,2002,7,27,BE,229.1833
1,2002-07-08,2002,7,28,BE,230.0245
2,2002-07-15,2002,7,29,BE,230.0026
3,2002-07-22,2002,7,30,BE,230.5926
4,2002-07-29,2002,7,31,BE,230.5286
5,2002-08-05,2002,8,32,BE,232.5626
6,2002-08-12,2002,8,33,BE,234.7518
7,2002-08-19,2002,8,34,BE,236.8058
8,2002-08-26,2002,8,35,BE,236.5699
9,2002-09-02,2002,9,36,BE,238.9409
10,2002-09-09,2002,9,37,BE,239.215
11,2002-09-16,2002,9,38,BE,239.3053
12,2002-09-23,2002,9,39,BE,239.0247
13,2002-09-30,2002,9,40,BE,239.2263
14,2002-10-07,2002,10,41,BE,239.4427
15,2002-10-14,2002,10,42,BE,239.0257
16,2002-10-21,2002,10,43,BE,239.2218
17,2002-10-28,2002,10,44,BE,239.1055
18,2002-11-04,2002,11,45,BE,238.1703
19,2002-11-11,2002,11,46,BE,238.2947
20,2002-11-18,2002,11,47,BE,238.3292
21,2002-11-25,2002,11,48,BE,239.8764
22,2002-12-02,2002,12,49,BE,240.7726
23,2002-12-09,2002,12,50,BE,241.2513
24,2002-12-16,2002,12,51,BE,241.4804
25,2002-12-23,2002,12,52,BE,241.4804
26,2002-12-30,2002,12,1,BE,241.7085
27,2003-01-06,2003,1,2,BE,241.856
28,2003-01-13,2003,1,3,BE,242.1047
29,2003-01-20,2003,1,4,BE,242.0583
30,2003-01-27,2003,1,5,BE,242.1402
31,2003-02-03,2003,2,6,BE,242.0754
32,2003-02-10,2003,2,7,BE,242.4567
33,2003-02-17,2003,2,8,BE,243.1087
34,2003-02-24,2003,2,9,BE,243.4927
35,2003-03-03,2003,3,10,BE,243.1543
36,2003-03-10,2003,3,11,BE,244.9182
37,2003-03-17,2003,3,12,BE,244.7593
38,2003-03-24,2003,3,13,BE,243.3643
39,2003-03-31,2003,3,14,BE,243.354
40,2003-04-07,2003,4,15,BE,243.3913
41,2003-04-14,2003,4,16,BE,243.6128
42,2003-04-21,2003,4,17,BE,244.677
43,2003-04-28,2003,4,18,BE,245.2727
44,2003-05-05,2003,5,19,BE,248.2196
45,2003-05-12,2003,5,20,BE,250.537
46,2003-05-19,2003,5,21,BE,252.4197
47,2003-05-26,2003,5,22,BE,255.3808
48,2003-06-02,2003,6,23,BE,255.6477
49,2003-06-09,2003,6,24,BE,255.9827
50,2003-06-16,2003,6,25,BE,256.1496
51,2003-06-23,2003,6,26,BE,256.1956
52,2003-06-30,2003,6,27,BE,255.7849
53,2003-07-07,2003,7,28,BE,255.8873
